reg,sigla,uf,Com segurança alimentar,Com insegurança alimentar,Com insegurança alimentar leve,Com insegurança alimentar moderada,Com insegurança alimentar grave
Centro-Oeste,DF,Distrito Federal,86.8773491028249,13.1226508971751,9.00233246499718,2.13875314534173,1.98156528683615
Centro-Oeste,GO,Goiás,77.5227793688302,22.4772206311698,17.6329085299131,2.67443525225897,2.16987684899774
Centro-Oeste,MS,Mato Grosso do Sul,69.1511516156524,30.8488483843476,23.2189736088106,5.18747095760314,2.44240381793386
Centro-Oeste,MT,Mato Grosso,76.4889676765616,23.5110323234383,16.7838958768347,4.29559167541215,2.43154477119148
Nordeste,AL,Alagoas,51.5359770465001,48.4640229534999,31.1744968235904,11.8992471722207,5.39027895768884
Nordeste,BA,Bahia,67.251055559485,32.748944440515,21.1797664699569,6.57137673248602,4.9978012380721
Nordeste,CE,Ceará,54.6505230871022,45.3494769128978,26.520444608721,12.495134667105,6.33389763707169
Nordeste,MA,Maranhão,45.3214457572164,54.6785542427836,33.5360748561261,13.588441507989,7.55403787866847
Nordeste,PE,Pernambuco,54.0132106471291,45.9867893528709,28.9126863090372,11.0225968492548,6.05150619457896
Nordeste,PI,Piauí,51.73964003924,48.26035996076,28.4972197276093,12.9808746586656,6.78226557448513
Nordeste,PB,Paraíba,53.1271690682213,46.8728309317787,27.7918867836509,12.8867214502911,6.19422269783669
Nordeste,RN,Rio Grande do Norte,46.5365583529458,53.4634416470542,33.9183988291834,13.2240571168641,6.32098570100666
Nordeste,SE,Sergipe,63.6201787740503,36.3798212259497,23.5815417197618,7.79780707690553,5.00047242928244
Norte,AC,Acre,41.3485793308322,58.6514206691678,32.4664626468793,13.8157248891336,12.3692331331549
Norte,AM,Amazonas,33.8489366094558,66.1510633905443,35.2353590734257,18.5761233836357,12.3395809334829
Norte,AP,Amapá,60.4299965100047,39.5700034899953,23.6272684969753,6.72187645416473,9.22085853885528
Norte,PA,Pará,40.5718084470398,59.4281915529602,29.7262914233516,19.1261221190773,10.5757780105313
Norte,RO,Rondônia,34.46034040992,65.53965959008,31.7486789341528,19.6291942238011,14.1617864321261
Norte,RR,Roraima,38.7580513282428,61.2419486717572,34.0876950863943,16.1401515910068,11.0141019943561
Norte,TO,Tocantins,43.3221630626002,56.6778369373998,35.1962776143104,13.7718345710149,7.70972475207448
Sudeste,ES,Espírito Santo,62.9934547169643,37.0065452830357,25.7663231616698,6.72849311655142,4.51172900481441
Sudeste,MG,Minas Gerais,54.3754407078621,45.6245592921379,30.3002293231761,10.5991145519927,4.72521541696909
Sudeste,RJ,Rio de Janeiro,66.6256263807317,33.3743736192683,22.2613466961223,7.10490866964815,4.00811825349785
Sudeste,SP,São Paulo,67.7990248716378,32.2009751283622,21.9408937126263,6.83279103361854,3.42729038211739
Sul,PR,Paraná,69.3148222998528,30.6851777001472,21.1144152207177,6.1526691110662,3.41809336836331
Sul,RS,Rio Grande do Sul,68.8396871524133,31.1603128475867,21.8317160179128,6.07380083297712,3.25479599669674
Sul,SC,Santa Catarina,63.749391480375,36.250608519625,26.1525099026719,6.68233349327039,3.41576512368271
